21
Jose Maria,1.5,4.0,8.0
Carla Vieira,6.0,9.0
Juliana Barata,5.4
Marluce Figueira
Janio Macedo,5.0,3.0,2.5,10.0
Marlene Matos,8.0,6.0,7.0,4.5
Maria Rita,6.0,6.0,6.0,9.0
Jose Jose Maria,1.5,4.0,8.0
Jose Carla Vieira,6.0,9.0
Jose Juliana Barata,5.4
Jose Marluce Figueira
Jose Janio Macedo,5.0,3.0,2.5,10.0
Jose Marlene Matos,8.0,6.0,7.0,4.5
Jose Maria Rita,6.0,6.0,6.0,9.0
Jose Pedro Maria,1.5,4.0,8.0
Carla Pedro Vieira,6.0,9.0
Juliana Pedro Barata,5.4
Marluce Pedro Figueira
Janio Pedro Macedo,5.0,3.0,2.5,10.0
Marlene Pedro Matos,8.0,6.0,7.0,4.5
Maria Pedro Rita,6.0,6.0,6.0,9.0
